field_name,field_type,field_default,dep_table_category,dep_table_type,dep_table_name,dep_table_field,display,display_long,comment
alim_grp_code,
alim_ssgrp_code,
alim_ssssgrp_code,
alim_grp_nom_fr
alim_ssgrp_nom_fr
alim_ssssgrp_nom_fr
alim_code
alim_nom_fr
alim_nom_sci
energie_kj
energie_kcal
eau,
proteines,
glucides,
lipides,
sucres,
fructose,
galactose,
glucose,
lactose,
maltose,
saccharose,
amidon,
fibres_alimentaires,
polyols_totaux,
cendres,
alcool,
acides_organiques,
ag_satures,
ag_monoinsatures,
ag_polyinsatures,
