table_name,field_category,field_name
recipe,recipe,recipe_id
recipe,recipe,recipe_name
recipe,recipe,recipe_nb_meal
recipe,recipe,recipe_meal
recipe,recipe,expected_cost
recipe,recipe,comment
map_recipe_ingredient,recipe,map_recipe_ingredient_id
map_recipe_ingredient,recipe,recipe_id
map_recipe_ingredient,ingredient,ingredient_id
map_recipe_ingredient,recipe,ingredient_qty_unit
map_recipe_ingredient,recipe,ingredient_qty
map_recipe_ingredient,recipe,is_key
map_recipe_ingredient,recipe,comment
